County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Dollars),Rank within US
"Chatham County, Georgia",13051,Urban,66171.000000000,"1119 of 3142"
"Sherman County, Texas",48421,Rural,66169.000000000,"1120 of 3142"
"Spencer County, Indiana",18147,Rural,66168.000000000,"1121 of 3142"
"Winona County, Minnesota",27169,Rural,66162.000000000,"1122 of 3142"
"Osage County, Kansas",20139,Urban,66155.000000000,"1123 of 3142"
"St. Lucie County, Florida",12111,Urban,66154.000000000,"1124 of 3142"
"Douglas County, Kansas",20045,Urban,66153.000000000,"1125 of 3142"
"Dakota County, Nebraska",31043,Urban,66112.000000000,"1126 of 3142"
"Oneida County, Wisconsin",55085,Rural,66111.000000000,"1127 of 3142"
"Clallam County, Washington",53009,Rural,66108.000000000,"1128 of 3142"
"Fayette County, Kentucky",21067,Urban,66087.000000000,"1129 of 3142"
"Butte County, California",06007,Urban,66085.000000000,"1130 of 3142"
"Mitchell County, Iowa",19131,Rural,66056.000000000,"1131 of 3142"
"Marshall County, Indiana",18099,Rural,66016.000000000,"1132 of 3142"
"Kittson County, Minnesota",27069,Rural,66000.000000000,"1133 of 3142"
"Nuckolls County, Nebraska",31129,Rural,66000.000000000,"1133 of 3142"
"Stanton County, Kansas",20187,Rural,66000.000000000,"1133 of 3142"
"Bay County, Florida",12005,Urban,65999.000000000,"1136 of 3142"
"Crow Wing County, Minnesota",27035,Rural,65975.000000000,"1137 of 3142"
"Glynn County, Georgia",13127,Urban,65970.000000000,"1138 of 3142"
"Kingsbury County, South Dakota",46077,Rural,65964.000000000,"1139 of 3142"
"Haralson County, Georgia",13143,Urban,65940.000000000,"1140 of 3142"
"Taylor County, Iowa",19173,Rural,65926.000000000,"1141 of 3142"
"Snyder County, Pennsylvania",42109,Rural,65914.000000000,"1142 of 3142"
"Niagara County, New York",36063,Urban,65882.000000000,"1143 of 3142"
"Clark County, Illinois",17023,Rural,65874.000000000,"1144 of 3142"
"Lea County, New Mexico",35025,Rural,65855.000000000,"1145 of 3142"
"Fannin County, Texas",48147,Rural,65835.000000000,"1146 of 3142"
"Sanborn County, South Dakota",46111,Rural,65806.000000000,"1147 of 3142"
"Spink County, South Dakota",46115,Rural,65795.000000000,"1148 of 3142"
"Otsego County, New York",36077,Rural,65778.000000000,"1149 of 3142"
"Madison County, Texas",48313,Rural,65768.000000000,"1150 of 3142"
"Codington County, South Dakota",46029,Rural,65747.000000000,"1151 of 3142"
"Butler County, Iowa",19023,Rural,65743.000000000,"1152 of 3142"
"Chaffee County, Colorado",08015,Rural,65703.000000000,"1153 of 3142"
"Freeborn County, Minnesota",27047,Rural,65679.000000000,"1154 of 3142"
"Redwood County, Minnesota",27127,Rural,65617.000000000,"1155 of 3142"
"Calhoun County, Iowa",19025,Rural,65614.000000000,"1156 of 3142"
"Jackson County, Indiana",18071,Rural,65609.000000000,"1157 of 3142"
"Pierce County, Nebraska",31139,Rural,65603.000000000,"1158 of 3142"
"Shelby County, Illinois",17173,Rural,65585.000000000,"1159 of 3142"
"Duval County, Florida",12031,Urban,65579.000000000,"1160 of 3142"
"Cheyenne County, Colorado",08017,Rural,65577.000000000,"1161 of 3142"
"Parmer County, Texas",48369,Rural,65575.000000000,"1162 of 3142"
"Charles City County, Virginia",51036,Urban,65573.000000000,"1163 of 3142"
"Young County, Texas",48503,Rural,65565.000000000,"1164 of 3142"
"Van Buren County, Michigan",26159,Rural,65531.000000000,"1165 of 3142"
"Henderson County, North Carolina",37089,Urban,65508.000000000,"1166 of 3142"
"Shawano County, Wisconsin",55115,Rural,65493.000000000,"1167 of 3142"
"Kankakee County, Illinois",17091,Urban,65489.000000000,"1168 of 3142"
"Martin County, Indiana",18101,Rural,65489.000000000,"1168 of 3142"
"Lenawee County, Michigan",26091,Rural,65484.000000000,"1170 of 3142"
"Tama County, Iowa",19171,Rural,65483.000000000,"1171 of 3142"
"Windham County, Vermont",50025,Rural,65473.000000000,"1172 of 3142"
"Grant County, Kentucky",21081,Urban,65461.000000000,"1173 of 3142"
"Washington County, Kentucky",21229,Rural,65456.000000000,"1174 of 3142"
"Caribou County, Idaho",16029,Rural,65380.000000000,"1175 of 3142"
"Sedgwick County, Kansas",20173,Urban,65372.000000000,"1176 of 3142"
"White County, Indiana",18181,Rural,65345.000000000,"1177 of 3142"
"Webster County, Iowa",19187,Rural,65335.000000000,"1178 of 3142"
"Paulding County, Ohio",39125,Rural,65331.000000000,"1179 of 3142"
"Caroline County, Maryland",24011,Rural,65326.000000000,"1180 of 3142"
"Marshall County, Tennessee",47117,Rural,65325.000000000,"1181 of 3142"
"Norman County, Minnesota",27107,Rural,65278.000000000,"1182 of 3142"
"Montgomery County, Virginia",51121,Urban,65270.000000000,"1183 of 3142"
"Palo Pinto County, Texas",48363,Rural,65242.000000000,"1184 of 3142"
"Tulsa County, Oklahoma",40143,Urban,65229.000000000,"1185 of 3142"
"Teton County, Montana",30099,Rural,65224.000000000,"1186 of 3142"
"Gem County, Idaho",16045,Urban,65204.000000000,"1187 of 3142"
"Mahaska County, Iowa",19123,Rural,65200.000000000,"1188 of 3142"
"Watonwan County, Minnesota",27165,Rural,65197.000000000,"1189 of 3142"
"Carbon County, Wyoming",56007,Rural,65196.000000000,"1190 of 3142"
"Cass County, Michigan",26027,Urban,65183.000000000,"1191 of 3142"
"Vernon County, Wisconsin",55123,Urban,65177.000000000,"1192 of 3142"
"Erie County, Ohio",39043,Urban,65171.000000000,"1193 of 3142"
"Jackson County, Missouri",29095,Urban,65169.000000000,"1194 of 3142"
"Kingfisher County, Oklahoma",40073,Rural,65167.000000000,"1195 of 3142"
"Lane County, Oregon",41039,Urban,65157.000000000,"1196 of 3142"
"Grant County, Nebraska",31075,Rural,65139.000000000,"1197 of 3142"
"Phelps County, Nebraska",31137,Rural,65114.000000000,"1198 of 3142"
"St. John the Baptist Parish, Louisiana",22095,Urban,65114.000000000,"1198 of 3142"
"Webster County, Missouri",29225,Urban,65103.000000000,"1200 of 3142"
"O'Brien County, Iowa",19141,Rural,65076.000000000,"1201 of 3142"
"Cape Girardeau County, Missouri",29031,Urban,65070.000000000,"1202 of 3142"
"Wyoming County, New York",36121,Rural,65066.000000000,"1203 of 3142"
"Pine County, Minnesota",27115,Rural,65059.000000000,"1204 of 3142"
"Oswego County, New York",36075,Urban,65054.000000000,"1205 of 3142"
"Cortland County, New York",36023,Rural,65029.000000000,"1206 of 3142"
"Nez Perce County, Idaho",16069,Urban,65023.000000000,"1207 of 3142"
"Harnett County, North Carolina",37085,Rural,64992.000000000,"1208 of 3142"
"Morrow County, Oregon",41049,Rural,64975.000000000,"1209 of 3142"
"Lamar County, Georgia",13171,Rural,64966.000000000,"1210 of 3142"
"Garfield County, Nebraska",31071,Rural,64957.000000000,"1211 of 3142"
"Wayne County, Nebraska",31179,Rural,64951.000000000,"1212 of 3142"
"Henderson County, Illinois",17071,Rural,64946.000000000,"1213 of 3142"
"Marshall County, Illinois",17123,Urban,64940.000000000,"1214 of 3142"
"Union County, Pennsylvania",42119,Rural,64914.000000000,"1215 of 3142"
"Yakima County, Washington",53077,Urban,64910.000000000,"1216 of 3142"
"Ness County, Kansas",20135,Rural,64907.000000000,"1217 of 3142"
"Sweet Grass County, Montana",30097,Rural,64872.000000000,"1218 of 3142"
"Wayne County, Utah",49055,Rural,64870.000000000,"1219 of 3142"
"Van Wert County, Ohio",39161,Rural,64841.000000000,"1220 of 3142"
"Cass County, Illinois",17017,Rural,64826.000000000,"1221 of 3142"
"Brule County, South Dakota",46015,Rural,64821.000000000,"1222 of 3142"
"Jefferson County, Washington",53031,Rural,64796.000000000,"1223 of 3142"
"Merced County, California",06047,Urban,64772.000000000,"1224 of 3142"
"Brown County, Illinois",17009,Rural,64760.000000000,"1225 of 3142"
"Platte County, Wyoming",56031,Rural,64753.000000000,"1226 of 3142"
"Adams County, Iowa",19003,Rural,64750.000000000,"1227 of 3142"
"Lincoln County, Minnesota",27081,Rural,64750.000000000,"1227 of 3142"
"Mineral County, West Virginia",54057,Rural,64728.000000000,"1229 of 3142"
"East Feliciana Parish, Louisiana",22037,Urban,64709.000000000,"1230 of 3142"
"Dolores County, Colorado",08033,Rural,64708.000000000,"1231 of 3142"
"Macoupin County, Illinois",17117,Urban,64706.000000000,"1232 of 3142"
"Grand Forks County, North Dakota",38035,Urban,64698.000000000,"1233 of 3142"
"Douglas County, Wisconsin",55031,Urban,64682.000000000,"1234 of 3142"
"Hardin County, Iowa",19083,Rural,64656.000000000,"1235 of 3142"
"Northumberland County, Virginia",51133,Rural,64655.000000000,"1236 of 3142"
"Jackson County, Wisconsin",55053,Rural,64630.000000000,"1237 of 3142"
"Bossier Parish, Louisiana",22015,Urban,64598.000000000,"1238 of 3142"
"Marshall County, Kentucky",21157,Rural,64597.000000000,"1239 of 3142"
"Lee County, Illinois",17103,Rural,64588.000000000,"1240 of 3142"
"Harlan County, Nebraska",31083,Rural,64583.000000000,"1241 of 3142"
"Carbon County, Pennsylvania",42025,Urban,64538.000000000,"1242 of 3142"
"Androscoggin County, Maine",23001,Urban,64500.000000000,"1243 of 3142"
"Lee County, Mississippi",28081,Rural,64479.000000000,"1244 of 3142"
"Tulare County, California",06107,Urban,64474.000000000,"1245 of 3142"
"Emmet County, Iowa",19063,Rural,64461.000000000,"1246 of 3142"
"Amherst County, Virginia",51009,Urban,64454.000000000,"1247 of 3142"
"Barnes County, North Dakota",38003,Rural,64447.000000000,"1248 of 3142"
"Garrett County, Maryland",24023,Rural,64447.000000000,"1248 of 3142"
"Brookings County, South Dakota",46011,Rural,64438.000000000,"1250 of 3142"
"Rock Island County, Illinois",17161,Urban,64435.000000000,"1251 of 3142"
"Hampton City, Virginia",51650,Urban,64430.000000000,"1252 of 3142"
"Perkins County, South Dakota",46105,Rural,64410.000000000,"1253 of 3142"
"Lewis County, New York",36049,Rural,64401.000000000,"1254 of 3142"
"McIntosh County, North Dakota",38051,Rural,64375.000000000,"1255 of 3142"
"Calcasieu Parish, Louisiana",22019,Urban,64370.000000000,"1256 of 3142"
"Sanpete County, Utah",49039,Rural,64356.000000000,"1257 of 3142"
"Johnson County, Nebraska",31097,Rural,64352.000000000,"1258 of 3142"
"Pima County, Arizona",04019,Urban,64323.000000000,"1259 of 3142"
"Lincoln County, Wisconsin",55069,Rural,64314.000000000,"1260 of 3142"
"Osceola County, Florida",12097,Urban,64312.000000000,"1261 of 3142"
"Marshall County, Kansas",20117,Rural,64306.000000000,"1262 of 3142"
"Curry County, Oregon",41015,Rural,64300.000000000,"1263 of 3142"
"Gonzales County, Texas",48177,Rural,64255.000000000,"1264 of 3142"
"Pembina County, North Dakota",38067,Rural,64243.000000000,"1265 of 3142"
"Llano County, Texas",48299,Rural,64241.000000000,"1266 of 3142"
"Buffalo County, Wisconsin",55011,Rural,64238.000000000,"1267 of 3142"
"Miami-Dade County, Florida",12086,Urban,64215.000000000,"1268 of 3142"
"Clinton County, Ohio",39027,Rural,64210.000000000,"1269 of 3142"
"Lawrence County, Indiana",18093,Rural,64210.000000000,"1269 of 3142"
"Pike County, Indiana",18125,Rural,64182.000000000,"1271 of 3142"
"Bureau County, Illinois",17011,Rural,64165.000000000,"1272 of 3142"
"Garfield County, Oklahoma",40047,Urban,64165.000000000,"1272 of 3142"
"Crawford County, Illinois",17033,Rural,64163.000000000,"1274 of 3142"
"Gibson County, Indiana",18051,Rural,64153.000000000,"1275 of 3142"
"Hancock County, Maine",23009,Rural,64149.000000000,"1276 of 3142"
"Huron County, Ohio",39077,Rural,64144.000000000,"1277 of 3142"
"Hardin County, Kentucky",21093,Urban,64136.000000000,"1278 of 3142"
"Daviess County, Indiana",18027,Rural,64113.000000000,"1279 of 3142"
"Crockett County, Texas",48105,Rural,64103.000000000,"1280 of 3142"
"Bethel Census Area, Alaska",02050,Rural,64094.000000000,"1281 of 3142"
"Graham County, Arizona",04009,Rural,64089.000000000,"1282 of 3142"
"Lyon County, Kentucky",21143,Rural,64081.000000000,"1283 of 3142"
"Seneca County, New York",36099,Rural,64050.000000000,"1284 of 3142"
"Allamakee County, Iowa",19005,Rural,64049.000000000,"1285 of 3142"
"Union County, Florida",12125,Rural,64043.000000000,"1286 of 3142"
"Glenn County, California",06021,Rural,64033.000000000,"1287 of 3142"
"Hot Springs County, Wyoming",56017,Rural,64031.000000000,"1288 of 3142"
"Nelson County, Virginia",51125,Urban,64028.000000000,"1289 of 3142"
"Nueces County, Texas",48355,Urban,64027.000000000,"1290 of 3142"
"Daviess County, Kentucky",21059,Urban,64021.000000000,"1291 of 3142"
"McLean County, Kentucky",21149,Urban,64020.000000000,"1292 of 3142"
"Faribault County, Minnesota",27043,Rural,64000.000000000,"1293 of 3142"
"Moffat County, Colorado",08081,Rural,63983.000000000,"1294 of 3142"
"Orleans County, Vermont",50019,Rural,63981.000000000,"1295 of 3142"
"Elkhart County, Indiana",18039,Urban,63978.000000000,"1296 of 3142"
"Keya Paha County, Nebraska",31103,Rural,63977.000000000,"1297 of 3142"
"Yates County, New York",36123,Rural,63974.000000000,"1298 of 3142"
"Susquehanna County, Pennsylvania",42115,Rural,63968.000000000,"1299 of 3142"
"Itasca County, Minnesota",27061,Rural,63962.000000000,"1300 of 3142"
"Howard County, Iowa",19089,Rural,63947.000000000,"1301 of 3142"
"Callahan County, Texas",48059,Urban,63906.000000000,"1302 of 3142"
"Kern County, California",06029,Urban,63883.000000000,"1303 of 3142"
"Bosque County, Texas",48035,Urban,63868.000000000,"1304 of 3142"
"Randolph County, Illinois",17157,Rural,63860.000000000,"1305 of 3142"
"San Patricio County, Texas",48409,Urban,63842.000000000,"1306 of 3142"
"Beadle County, South Dakota",46005,Rural,63813.000000000,"1307 of 3142"
"Gregg County, Texas",48183,Urban,63811.000000000,"1308 of 3142"
"Adams County, Illinois",17001,Rural,63767.000000000,"1309 of 3142"
"Hopkins County, Texas",48223,Rural,63766.000000000,"1310 of 3142"
"Camas County, Idaho",16025,Rural,63750.000000000,"1311 of 3142"
"Emmons County, North Dakota",38029,Rural,63750.000000000,"1311 of 3142"
"Lackawanna County, Pennsylvania",42069,Urban,63739.000000000,"1313 of 3142"
"Schuyler County, Illinois",17169,Rural,63737.000000000,"1314 of 3142"
"Vilas County, Wisconsin",55125,Rural,63726.000000000,"1315 of 3142"
"Asotin County, Washington",53003,Urban,63724.000000000,"1316 of 3142"
"Newton County, Indiana",18111,Urban,63673.000000000,"1317 of 3142"
"Cherokee County, Iowa",19035,Rural,63638.000000000,"1318 of 3142"
"Hancock County, Mississippi",28045,Urban,63623.000000000,"1319 of 3142"
"Jefferson County, Alabama",01073,Urban,63595.000000000,"1320 of 3142"
"Minidoka County, Idaho",16067,Rural,63594.000000000,"1321 of 3142"
"Cottonwood County, Minnesota",27033,Rural,63586.000000000,"1322 of 3142"
"Schuylkill County, Pennsylvania",42107,Rural,63574.000000000,"1323 of 3142"
"Sterling County, Texas",48431,Rural,63558.000000000,"1324 of 3142"
"Hall County, Nebraska",31079,Urban,63553.000000000,"1325 of 3142"
"Cassia County, Idaho",16031,Rural,63525.000000000,"1326 of 3142"
"Grant County, Wisconsin",55043,Rural,63497.000000000,"1327 of 3142"
"Grimes County, Texas",48185,Rural,63484.000000000,"1328 of 3142"
"Shawnee County, Kansas",20177,Urban,63463.000000000,"1329 of 3142"
"Thurston County, Nebraska",31173,Rural,63459.000000000,"1330 of 3142"
"Traverse County, Minnesota",27155,Rural,63456.000000000,"1331 of 3142"
"Juneau County, Wisconsin",55057,Rural,63455.000000000,"1332 of 3142"
"Amelia County, Virginia",51007,Urban,63438.000000000,"1333 of 3142"
"Lycoming County, Pennsylvania",42081,Urban,63437.000000000,"1334 of 3142"
"Harrison County, Texas",48203,Urban,63427.000000000,"1335 of 3142"
"Inyo County, California",06027,Rural,63417.000000000,"1336 of 3142"
"Peoria County, Illinois",17143,Urban,63409.000000000,"1337 of 3142"
"Lucas County, Iowa",19117,Rural,63405.000000000,"1338 of 3142"
"Parke County, Indiana",18121,Rural,63393.000000000,"1339 of 3142"
"Newport News City, Virginia",51700,Urban,63355.000000000,"1340 of 3142"
"Colorado County, Texas",48089,Rural,63352.000000000,"1341 of 3142"
"Montague County, Texas",48337,Rural,63336.000000000,"1342 of 3142"
"Johnson County, Illinois",17087,Rural,63295.000000000,"1343 of 3142"
"Coryell County, Texas",48099,Urban,63281.000000000,"1344 of 3142"
"Wood County, Wisconsin",55141,Rural,63273.000000000,"1345 of 3142"
"Jefferson Parish, Louisiana",22051,Urban,63257.000000000,"1346 of 3142"
"Bear Lake County, Idaho",16007,Rural,63244.000000000,"1347 of 3142"
"Cayuga County, New York",36011,Rural,63227.000000000,"1348 of 3142"
"Benson County, North Dakota",38005,Rural,63220.000000000,"1349 of 3142"
"Todd County, Minnesota",27153,Rural,63216.000000000,"1350 of 3142"
"Aiken County, South Carolina",45003,Urban,63212.000000000,"1351 of 3142"
"Taylor County, Kentucky",21217,Rural,63211.000000000,"1352 of 3142"
"Clark County, Wisconsin",55019,Rural,63187.000000000,"1353 of 3142"
"Pasco County, Florida",12101,Urban,63187.000000000,"1353 of 3142"
"Adair County, Iowa",19001,Rural,63172.000000000,"1355 of 3142"
"Fulton County, Pennsylvania",42057,Rural,63153.000000000,"1356 of 3142"
"Cerro Gordo County, Iowa",19033,Rural,63149.000000000,"1357 of 3142"
"Stark County, Ohio",39151,Urban,63130.000000000,"1358 of 3142"
"Hodgeman County, Kansas",20083,Rural,63125.000000000,"1359 of 3142"
"Ida County, Iowa",19093,Rural,63125.000000000,"1359 of 3142"
"Clarke County, Iowa",19039,Rural,63120.000000000,"1361 of 3142"
"Marquette County, Michigan",26103,Rural,63115.000000000,"1362 of 3142"
"Adams County, Washington",53001,Rural,63105.000000000,"1363 of 3142"
"Tillamook County, Oregon",41057,Rural,63098.000000000,"1364 of 3142"
"Terrebonne Parish, Louisiana",22109,Urban,63088.000000000,"1365 of 3142"
"Volusia County, Florida",12127,Urban,63075.000000000,"1366 of 3142"
"Warren County, Kentucky",21227,Urban,63074.000000000,"1367 of 3142"
"Big Stone County, Minnesota",27011,Rural,63024.000000000,"1368 of 3142"
"Lincoln County, Nebraska",31111,Rural,63019.000000000,"1369 of 3142"
"Mitchell County, Kansas",20123,Rural,63008.000000000,"1370 of 3142"
"Iron County, Utah",49021,Rural,63005.000000000,"1371 of 3142"
"Beaver County, Oklahoma",40007,Rural,62981.000000000,"1372 of 3142"
"Lawrence County, South Dakota",46081,Rural,62977.000000000,"1373 of 3142"
"Nobles County, Minnesota",27105,Rural,62973.000000000,"1374 of 3142"
"Dickinson County, Kansas",20041,Rural,62971.000000000,"1375 of 3142"
"Heard County, Georgia",13149,Urban,62965.000000000,"1376 of 3142"
"Caledonia County, Vermont",50005,Rural,62964.000000000,"1377 of 3142"
"St. James Parish, Louisiana",22093,Urban,62946.000000000,"1378 of 3142"
